steps: 161000, lr: 3.15e-04, avg_loss: 3.24, run_time: 1.59e+02
steps: 161500, lr: 3.15e-04, avg_loss: 3.24, run_time: 1.60e+02
steps: 162000, lr: 3.14e-04, avg_loss: 3.23, run_time: 1.60e+02
steps: 162500, lr: 3.14e-04, avg_loss: 3.23, run_time: 1.60e+02
steps: 163000, lr: 3.13e-04, avg_loss: 3.23, run_time: 1.60e+02
steps: 163500, lr: 3.13e-04, avg_loss: 3.23, run_time: 1.60e+02
steps: 164000, lr: 3.12e-04, avg_loss: 3.24, run_time: 1.59e+02
steps: 164500, lr: 3.12e-04, avg_loss: 3.23, run_time: 2.51e+02
steps: 165000, lr: 3.11e-04, avg_loss: 3.24, run_time: 1.60e+02
steps: 165500, lr: 3.11e-04, avg_loss: 3.23, run_time: 1.60e+02
steps: 166000, lr: 3.10e-04, avg_loss: 3.24, run_time: 1.60e+02
steps: 166500, lr: 3.10e-04, avg_loss: 3.24, run_time: 1.60e+02
steps: 167000, lr: 3.10e-04, avg_loss: 3.23, run_time: 1.60e+02
steps: 167500, lr: 3.09e-04, avg_loss: 3.24, run_time: 1.60e+02
steps: 168000, lr: 3.09e-04, avg_loss: 3.24, run_time: 1.60e+02
steps: 168500, lr: 3.08e-04, avg_loss: 3.24, run_time: 1.60e+02
steps: 169000, lr: 3.08e-04, avg_loss: 3.23, run_time: 1.60e+02
steps: 169500, lr: 3.07e-04, avg_loss: 3.25, run_time: 2.24e+02
steps: 170000, lr: 3.07e-04, avg_loss: 3.24, run_time: 1.60e+02
steps: 170500, lr: 3.06e-04, avg_loss: 3.24, run_time: 1.60e+02
